Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Babolat,Baller +,$219.99 ,2025,USAP,Hybrid,Carbon,Paint Grit,Gen 2,All-Court,16,5.5,4.125,8.33,113,36%,6.08,29%,234,High,1932,56,57%,35.8,34%,45%,55,Firepower Balanced
Babolat,Strkr+,$219.99 ,2025,USAP,Extra-elongated,Carbon,Paint Grit,Gen 2/Edgeless,Power,13,5.5,4,8.05,120,83%,5.43,4%,240,Low,1815,55.7,42%,36,41%,41%,53,Firepower Balanced
Babolat,WZRD,$219.99 ,2025,USAP,Widebody,Carbon,Paint Grit,Gen 2,Control,20,5,4.125,8.57,109,13%,6.4,53%,226,High,1952,55.8,48%,35.6,27%,37%,51,Firepower Balanced
Body Helix,Flik F1 TerraCore XC Elongated,$190 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.25,4.25,7.86,114,44%,6.07,28%,240,Very High,2088,57.4,97%,38,100%,99%,90,Firepower Elite
Body Helix,X2 Lite,$160 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6,4.25,8.12,123,92%,6.32,49%,245,Low,1842,52.8,2%,33.7,1%,2%,0,Firepower Soft
Body Helix,X2 Pro,$180 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,19,6,4.25,8.88,134,100%,6.74,76%,246,High,1981,54.9,22%,34.8,8%,15%,33,Firepower Soft
Body Helix,X3 Lite,$160 ,2023,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6,4.25,8.25,125,97%,6.03,27%,245,Medium,1920,52.8,2%,34.8,8%,5%,6,Firepower Soft
Body Helix,X3 Pro,$180 ,2023,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,18,6,4.25,8.73,132,99%,6.65,70%,246,High,1949,54.7,20%,34.2,3%,11%,26,Firepower Soft
Body Helix,X4 Gold Kevlar,$140 ,2024,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,4.25,8.1,116,57%,6.63,68%,239,High,1972,56,57%,36.5,67%,62%,61,Firepower Balanced
Bread & Butter,Fat Boy,$189.99 ,2024,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.25,8.17,112,29%,7.29,95%,236,High,1935,54.9,22%,36.6,72%,47%,47,Firepower Control+
Bread & Butter,Filth Elongated,$165 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.125,8.18,123,92%,6.24,41%,243,Medium,1905,55.8,48%,35.7,31%,39%,52,Firepower Balanced
Bread & Butter,Filth Hybrid,$165 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.07,113,36%,6.77,77%,238,Medium,1908,55.4,34%,35.9,36%,35%,48,Firepower Control+
Bread & Butter,Filth Standard,$165 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.125,8.26,111,23%,7.47,98%,234,Medium,1919,55.6,39%,35.8,34%,36%,50,Firepower Balanced
Bread & Butter,Invader,$189.99 ,2024,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.3,4.25,8.18,118,71%,6.85,82%,239,High,1985,55.8,48%,36.2,51%,49%,56,Firepower Balanced
Bread & Butter,Loco Elongated,$199.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.9,120,83%,6.18,36%,245,Very High,2010,56.9,90%,36.8,82%,86%,75,Firepower High
Bread & Butter,Loco Hybrid,$199.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.98,113,36%,6.67,71%,238,Very High,2032,56.7,84%,37,90%,87%,73,Firepower High
Bread & Butter,Loco Standard,$199.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.25,8.06,110,17%,7.33,96%,235,Very High,2004,56.4,74%,36.6,72%,73%,67,Firepower High
Bread & Butter,Shogun,$189.99 ,2024,USAP,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,8.18,122,89%,6.2,38%,244,Medium,1928,54.4,17%,35.4,20%,18%,31,Firepower Soft
Bread & Butter,Wild Thing,$189.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.3,7.7,113,36%,5.91,19%,239,Medium,1907,55.8,48%,35.6,27%,37%,51,Firepower Balanced
Chorus,Shapeshifter EX,$174.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.8,115,50%,6.18,36%,242,Very High,2104,56,57%,35.9,36%,46%,56,Firepower Balanced
Chorus,Shapeshifter HX,$174.99 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.8,114,44%,6.46,57%,240,Very High,2071,55.8,48%,35.6,27%,37%,51,Firepower Balanced
Chorus,Shapeshifter SX,$174.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.7,107,6%,6.83,81%,235,Very High,2063,54.5,18%,35.1,15%,17%,30,Firepower Soft
Chorus,Supercourt EX,$119 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.8,116,57%,6.45,56%,243,Very High,2020,56.2,65%,36,41%,53%,59,Firepower Balanced
Chorus,Supercourt HX,$119 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.8,115,50%,6.8,79%,242,High,1969,56,57%,35.8,34%,45%,55,Firepower Balanced
Chorus,Supercourt SX,$119 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.7,107,6%,7.16,92%,237,High,1986,56,57%,35.7,31%,44%,55,Firepower Balanced
CRBN,Barrage 2,$279.99 ,2026,USAP/UPA-A,Widebody,,Raw Texture/Peel Ply,Gen 4,,14,5.5,,7.95,110,17%,6.9,84%,237,,,,,,,,,
CRBN,Barrage 4,$279.99 ,2026,USAP/UPA-A,Hybrid,,Raw Texture/Peel Ply,Gen 4,,14,5.5,,8,112,29%,6.66,70%,237,,,,,,,,,
CRBN,CRBN 1 Orginal (16 mm),$179.99 ,2021,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.5,4.25,8.25,118,71%,5.77,11%,238,,,,,,,,,
CRBN,CRBN 1X Power Series (14 mm),$229.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.5,4.25,7.87,118,71%,5.88,16%,243,Medium,1917,54.3,16%,35.4,20%,18%,30,Firepower Soft
CRBN,CRBN 1X Power Series (16 mm),$229.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,8.11,124,95%,6.18,36%,244,Medium,1915,55,25%,34.9,11%,18%,35,Firepower Control+
CRBN,CRBN 2 Orignal (16 mm),$179.99 ,2021,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,4.25,7.94,109,13%,7.03,88%,236,,,,,,,,,
CRBN,CRBN 2X Power Series (14 mm),$229.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,4.75,4.25,7.8,105,3%,6.88,84%,232,,,,,,,,,
CRBN,CRBN 2X Power Series (16 mm),$229.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,4.75,4.25,8.2,112,29%,7.75,100%,237,,,,,,,,,
CRBN,CRBN 3X Power Series (14 mm),$229.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.25,7.87,116,57%,6.39,52%,240,,,,,,,,,
CRBN,CRBN 3X Power Series (16 mm),$229.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.18,119,79%,6.79,79%,241,Medium,1920,54.9,22%,35.6,27%,24%,39,Firepower Control+
CRBN,TruFoam Genesis 1,$279.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.125,7.9,118,71%,5.51,5%,244,Very High,2036,55.8,48%,36.6,72%,60%,59,Firepower Balanced
CRBN,TruFoam Genesis 2,$279.99 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.125,8.2,113,36%,6.7,74%,238,High,1992,55.5,37%,36.8,82%,60%,56,Firepower Balanced
CRBN,TruFoam Genesis 3,$279.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.125,8.3,122,89%,6.3,46%,243,Very High,2030,55.9,52%,36.4,62%,57%,58,Firepower Balanced
CRBN,TruFoam Genesis 4,$279.99 ,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8,109,13%,6.3,46%,232,Very High,2040,55.8,48%,36.2,51%,49%,56,Firepower Balanced
CRBN,TruFoam Waves 1,$279.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.6,4.25,7.9,119,79%,5.93,21%,245,High,1995,56.5,77%,36.2,51%,64%,65,Firepower High
CRBN,TruFoam Waves 2,$279.99 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8.12,112,29%,7.02,88%,235,Very High,2021,56.2,65%,36.6,72%,69%,64,Firepower Balanced
CRBN,TruFoam Waves 3,$279.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.3,4.25,8.18,119,79%,6.61,67%,240,High,1988,56.4,73%,36.4,62%,68%,65,Firepower High
CRBN,TruFoam Waves 4,$279.99 ,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.5,4.25,8,112,29%,6.68,73%,237,Very High,2056,56,57%,36.5,67%,62%,61,Firepower Balanced
Diadem,BluCore Max 19mm,$280 ,2025,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,19,5,4.25,8.4,108,10%,7.45,98%,228,Medium,1926,54.9,22%,36.2,51%,36%,44,Firepower Control+
Diadem,BluCore Pro 16mm,$280 ,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,16,5.5,4.25,8.1,112,29%,5.81,13%,234,High,1936,53.4,8%,35,12%,10%,15,Firepower Soft
Diadem,BluCore Standard 14mm,$280 ,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,14,5.25,4.25,7.8,107,6%,5.58,6%,232,High,1935,53.4,8%,36,41%,24%,23,Firepower Soft
Diadem,Edge 18k,$229.95 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5,4.125,7.8,117,64%,6.21,39%,244,,,,,,,,,
Diadem,Edge 18k Power Max,$239.95 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5,4.125,8.16,109,13%,7.87,100%,232,,,,,,,,,
Diadem,Edge 18k Speed Pro,$239.95 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.7,4.125,8.03,124,95%,6.31,48%,249,,,,,,,,,
Diadem,Edge Blucore Hybrid 14,$249.95 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.7,4.125,8,110,17%,6.4,53%,232,Very High,2081,56.1,61%,36.5,67%,64%,62,Firepower Balanced
Diadem,Edge Blucore Hybrid 16,$249.95 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.7,4.125,8.14,115,50%,6.75,77%,236,Very High,2112,56.3,68%,36.1,46%,57%,61,Firepower Balanced
Diadem,Edge Blucore Pro 14,$249.95 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.7,4.125,7.9,117,64%,6.1,30%,241,,,,,,,,,
