Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Flik,F3 Hybrid,$190 ,2026,USAP,Hybrid,,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.5,4.125,7.98,116,57%,6.23,40%,245,Very High,2111,56.1,61%,36.6,71%,66%,62,Firepower Balanced
Flik,F3 Widebody,$190 ,2026,USAP,Widebody,,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.5,4.125,8,113,36%,6.64,69%,241,Very High,2093,56,61%,36.9,89%,75%,64,Firepower Balanced
Franklin,C45 Dynasty 14,$229.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.6,4.3,7.9,117,64%,5.94,21%,231,Very High,2068,56.6,81%,36.4,62%,71%,68,Firepower High
Franklin,C45 Dynasty 16,$229.99 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.6,4.3,7.8,117,64%,5.94,21%,232,Very High,2034,56.4,74%,35.9,36%,55%,61,Firepower Balanced
Franklin,C45 Hybrid,$229.99 ,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.5,4.125,7.55,106,5%,5.6,7%,237,High,1982,54.8,21%,35.3,17%,19%,36,Firepower Control+
Franklin,C45 Parris Todd,$229.99 ,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,,13.25,,4.125,7.5,104,3%,5.47,4%,234,,,,,,,,,
Franklin,C45 Tempo 14,$229.99 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5,4.3,7.8,105,3%,6.34,50%,242,Very High,2016,56.1,61%,36,41%,51%,58,Firepower Balanced
Franklin,C45 Tempo 16,$229.99 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5,4.3,7.9,105,3%,6.53,61%,243,Very High,2037,55.9,52%,35.8,34%,43%,54,Firepower Balanced
Franklin,Dynasty 12 Feather Weight,$149.99 ,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,12,5.75,4.3,7.25,109,13%,5.7,9%,242,High,1936,55.7,42%,35.2,16%,29%,47,Firepower Control+
Franklin,FS Tour Dynasty (14mm),$150 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.6,4.3,8.28,124,95%,6.56,63%,242,High,1975,55.6,39%,35.4,20%,29%,47,Firepower Control+
Franklin,FS Tour Dynasty (16mm),$150 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.3,8.69,134,100%,7.22,93%,246,Medium,1864,56.1,61%,34.4,4%,33%,46,Firepower Control+
Franklin,FS Tour Tempo (14mm),$150 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5,4.3,8.47,117,64%,7.23,94%,235,Medium,1920,55.9,52%,35.2,16%,34%,49,Firepower Control+
Franklin,FS Tour Tempo (16mm),$150 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5,4.3,8.9,123,92%,7.68,99%,234,Medium,1925,55.7,42%,33.7,1%,22%,36,Firepower Control+
Friday,Aura E,$129 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,,16,,,8.1,118,71%,5.75,11%,240,,,,,,,,,
Friday,Aura H,$129 ,2026,USAP,Hybrid,,Raw Texture/Peel Ply,Gen 4,,16,,,7.8,112,29%,5.98,24%,238,,,,,,,,,
Friday,Aura Pro E,$169 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 4,,16,,,7.95,116,57%,6.02,26%,239,,,,,,,,,
Friday,Aura W,$129 ,2026,USAP,Widebody,,Raw Texture/Peel Ply,Gen 4,,16,,,7.83,106,5%,6.44,56%,234,,,,,,,,,
Friday,Challenger,$89 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,7.7,112,29%,5.8,12%,238,Medium,1889,55.7,42%,36.2,51%,46%,54,Firepower Balanced
Friday,Fever,$99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.75,113,36%,5.66,9%,241,Very High,2035,56.3,68%,36.1,46%,57%,61,Firepower Balanced
Friday,Fever 2,$99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8.03,112,29%,6.95,86%,238,Very High,2015,55.9,52%,35.6,27%,39%,52,Firepower Balanced
Friday,Original,$69 ,2024,USAP,Hybrid,Carbon,Paint Grit,Gen 2,All-Court,16,5.5,4.25,8.2,118,71%,6.29,45%,239,Medium,1926,56.3,68%,35.3,17%,43%,55,Firepower Balanced
Gamma,RCF-Airbender 16,$199.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.125,8.45,118,71%,5.8,12%,,Medium,1896,54.9,22%,34.9,11%,17%,34,Firepower Soft
Gamma,RCF-Obsidian 10,$159.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,10,5.75,4.125,7.9,116,57%,5.87,16%,243,Low,1813,55,25%,36.1,46%,35%,44,Firepower Control+
Gamma,RCF-Obsidian 13,$159.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.75,4.125,8.03,116,57%,6.18,36%,240,Medium,1893,54.4,17%,34.8,8%,12%,27,Firepower Soft
Gamma,RCF-Obsidian 16,$159.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.125,8.13,120,83%,6.53,61%,244,Medium,1897,55.2,29%,34.6,6%,17%,36,Firepower Control+
Gearbox,CX14H Ultimate Power,$249.99 ,2023,USAP,Widebody,Carbon,Paint Grit,Gen 1/Edgeless,All-Court,14,5.5,4,8.5,96,0%,5.31,2%,203,,,,,,,,,
Gearbox,GX2 Elongated,$269.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.5,4.125,7.94,120,83%,5.65,8%,250,Very High,2047,56,57%,36.1,46%,51%,58,Firepower Balanced
Gearbox,GX2 Hyper,$269.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.5,4.125,8,109,13%,6.51,60%,240,Very High,2009,55.4,34%,36.1,46%,40%,50,Firepower Balanced
Gearbox,GX2 Integra XL,$269.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.5,4.125,7.91,118,71%,5.69,9%,248,Very High,2025,55.9,52%,35.9,36%,44%,55,Firepower Balanced
Gearbox,GX2 Power Elongated,$279.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,No Gen,Power,16,5.5,4.125,8,118,71%,6.22,39%,246,Very High,2021,56.9,90%,36.5,67%,79%,72,Firepower High
Gearbox,GX2 Power Hybrid,$279.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,No Gen,Power,16,5.5,4.125,7.9,113,36%,6.66,70%,242,Very High,2049,56.8,86%,36.6,72%,79%,72,Firepower High
Gearbox,Pro Control Elongated,$274.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.5,4,8.07,123,92%,5.01,0%,247,Medium,1914,54.1,13%,34.2,3%,8%,18,Firepower Soft
Gearbox,Pro Control Integra,$274.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.5,4,7.95,116,57%,5.12,1%,246,High,1954,53.9,11%,34.8,8%,10%,20,Firepower Soft
Gearbox,Pro Power Elongated,$274.99 ,2023,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.5,4,7.88,121,86%,5.16,1%,248,High,1986,57.4,97%,36.9,85%,91%,82,Firepower Elite
Gearbox,Pro Power Integra,$274.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.5,4,7.98,114,44%,4.96,0%,241,High,1951,56.1,61%,36.1,46%,53%,59,Firepower Balanced
Gearbox,Pro Ultimate Elongated 14,$275 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.5,4,8.05,125,97%,5.34,2%,255,High,1993,56.8,86%,36,41%,63%,67,Firepower High
Gearbox,Pro Ultimate Elongated 16,$274.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.5,4,8,124,95%,5.38,3%,256,High,1987,56.8,86%,35.9,36%,61%,67,Firepower High
Gearbox,Pro Ultimate Hyper,$274.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.25,4,8,115,50%,6.36,51%,248,High,1986,56.1,61%,36.6,72%,67%,63,Firepower Balanced
Gherkin,Draco,$179.99 ,2026,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,8,113,36%,6.66,70%,235,Very High,2062,56.8,86%,37,90%,88%,75,Firepower High
Gherkin,Nightshade E,$135 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.5,4.125,7.9,116,57%,6.01,25%,242,,,,,,,,,
Gherkin,Nightshade H,$135 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.5,4.125,7.98,113,36%,6.15,34%,238,Very High,2007,54.6,19%,36.2,51%,35%,40,Firepower Control+
Gherkin,Wraith E,$135 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8,116,57%,5.96,22%,241,Very High,2061,56.7,84%,36.2,51%,68%,67,Firepower High
Gherkin,Wraith H,$135 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,8,111,23%,6.1,30%,236,Very High,2035,56.7,84%,36.4,62%,73%,69,Firepower High
Gherkin,Wraith S,$135 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.25,7.96,107,6%,6.5,59%,232,Very High,2043,56.6,81%,36.5,67%,74%,68,Firepower High
Gruvn,LAZR-16S,$169.99 ,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.4,4.125,8,108,10%,7.13,91%,234,,,,,,,,,
Gruvn,LAZR-16X,$169.99 ,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8,118,71%,6.41,54%,241,,,,,,,,,
Gruvn,LAZR-16X Full Foam,$169 ,2026,USAP,Elongated,Kevlar,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,7.98,118,71%,6.34,50%,245,Very High,2023,56.6,81%,36.5,67%,74%,68,Firepower High
Gruvn,MUVN-13S,$159 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.5,4.125,7.9,100,0%,6.4,53%,224,,,,,,,,,
Gruvn,MUVN-16HD Full Foam,$169 ,2026,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.125,8.2,115,50%,6.67,71%,240,Very High,2031,55.3,32%,35.8,34%,33%,46,Firepower Control+
Head,Boom Tour EX,$200 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,11,5.5,4.125,7.84,116,57%,5.46,4%,244,Very High,2074,56.5,77%,38.2,100%,89%,80,Firepower Elite
Head,Radical Nite,$219 ,2024,USAP,Elongated,Carbon,Paint Grit,Gen 2,Control,15,5.5,4.125,8.11,115,50%,5.91,19%,236,,,,,,,,,
Head,Radical Pro15,$200 ,2026,USAP,Widebody,,Raw Texture/Peel Ply,Gen 3,,15,5,4.125,8.5,120,83%,6.85,82%,235,,,,,,,,,
Head,Radical ProEX15,$200 ,2026,USAP,Elongated,,Raw Texture/Peel Ply,Gen 3,,15,5.5,4.125,8.13,113,36%,6.56,63%,235,,,,,,,,,
Head,Tour Radical Raw EX,$169.95 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.5,4.125,8.17,115,50%,5.56,6%,236,,,,,,,,,
Holbrook,Aero Metallic TI (16mm),$219.99 ,2024,USAP,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,7.95,117,64%,5.85,15%,240,High,1982,55.3,32%,35.5,23%,28%,44,Firepower Control+
Holbrook,Aero S (16mm),$199.99 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5,4.25,7.8,105,3%,6.63,68%,232,,,,,,,,,
Holbrook,Aero T (14mm),$199.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.5,4.25,7.8,115,50%,5.7,9%,241,High,1968,55.7,42%,36.3,57%,50%,55,Firepower Balanced
Holbrook,Aero T (16mm),$199.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,7.81,113,36%,5.69,9%,238,Very High,2016,55.9,52%,36.2,51%,51%,57,Firepower Balanced
Holbrook,Aero X (14mm),$199.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.25,7.8,112,29%,5.83,14%,239,High,1974,55.2,29%,36.2,51%,40%,48,Firepower Control+
Holbrook,Aero X (16mm),$199.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,7.82,113,36%,5.82,14%,238,High,1974,55.8,48%,36.1,46%,47%,55,Firepower Balanced
Holbrook,Arma S,$279.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.1,112,29%,7.11,91%,236,,,,,,,,,
Holbrook,Arma T,$279.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.25,8,117,64%,6.23,40%,242,,,,,,,,,
Holbrook,Arma X,$279.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.2,118,71%,6.38,52%,240,,,,,,,,,
Holbrook,Fuze Elongated 14,$229.99 ,2026,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,14,5.5,4.25,7.8,114,44%,6.2,38%,242,Very High,2016,57,93%,36.7,80%,86%,75,Firepower High
Holbrook,Fuze Elongated 16,$229.99 ,2026,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.94,116,57%,5.95,22%,242,Very High,2058,57.2,96%,36.9,85%,91%,79,Firepower High
Holbrook,Fuze Hybrid 16,$229.99 ,2026,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.9,113,36%,6.23,40%,240,Very High,2021,56.9,90%,37.1,93%,91%,77,Firepower High
Holbrook,Fuze Widebody 16,$229.99 ,2026,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.9,112,29%,6.8,79%,239,Very High,2042,56.9,90%,36.8,82%,86%,75,Firepower High
Holbrook,Mav Pro,$219.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.5,4.25,8.17,123,92%,6.1,30%,245,,,,,,,,,
Holbrook,Power Pro,$219.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,8.03,121,86%,6.39,52%,241,,,,,,,,,
Holbrook,Pro Power E,$219.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.25,122,89%,6.68,73%,241,,,,,,,,,
Honolulu Pickleball,J2FC+,$195 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.125,8,111,23%,6.7,74%,235,Very High,2002,56.3,68%,36.5,67%,67%,64,Firepower Balanced
Honolulu Pickleball,J2NF,$195 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.125,7.95,110,17%,6.67,71%,236,Very High,2054,56.1,61%,36.2,51%,56%,60,Firepower Balanced
Honolulu Pickleball,J2NF LH,$195 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.125,8,109,13%,6.6,66%,235,Very High,2060,56.2,65%,36.3,57%,61%,62,Firepower Balanced
Honolulu Pickleball,J2NFK,$195 ,2025,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.125,8.1,112,29%,6.81,80%,236,Very High,2041,56.4,74%,36.3,57%,65%,64,Firepower Balanced
Honolulu Pickleball,J2NFT,$195 ,2025,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.125,8.3,114,44%,6.89,84%,236,Very High,2084,56.3,68%,36,41%,54%,61,Firepower Balanced
Honolulu Pickleball,J3NF,$195 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.125,7.98,110,17%,6.7,74%,235,Very High,2073,56.3,68%,36.5,67%,67%,64,Firepower Balanced
Honolulu Pickleball,J6CR,$195 ,2026,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.25,8,112,29%,6.22,39%,236,Very High,2048,56.7,84%,36.7,80%,82%,71,Firepower High
Honolulu Pickleball,J6FC+,$195 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.25,8.13,118,71%,6.6,66%,239,,,,,,,,,
Honolulu Pickleball,J6NF,$195 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.25,8.1,118,71%,6.57,64%,240,Very High,2050,56.3,68%,36.4,62%,65%,64,Firepower Balanced
Honolulu Pickleball,J7NF,$195 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6,4.125,8,116,57%,5.91,19%,239,,,,,,,,,
Honolulu Pickleball,Sword & Shield J2,$145 ,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,7.95,110,17%,6.81,80%,236,,,,,,,,,
Honolulu Pickleball,Sword & Shield J2K,$155 ,2024,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.22,115,50%,7.1,90%,237,High,1948,55.1,28%,36.4,62%,45%,48,Firepower Control+
Honolulu Pickleball,Sword & Shield J2K+,$165 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.125,8.26,115,50%,7.1,90%,238,High,1983,55,25%,36,41%,33%,44,Firepower Control+
Honolulu Pickleball,Sword & Shield J2Ti,$155 ,2024,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.05,111,23%,6.6,66%,235,,,,,,,,,
Honolulu Pickleball,Sword & Shield J2Ti+,$165 ,2025,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.125,8.3,116,57%,7.16,92%,239,,,,,,,,,
Honolulu Pickleball,Sword & Shield J3k,$155 ,2024,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6,4.125,8.28,117,64%,7.22,93%,239,,,,,,,,,
Honolulu Pickleball,Sword & Shield J7K,$155 ,2024,USAP,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,16,6,4.125,8.25,123,92%,6.36,51%,242,,,,,,,,,
Hudef,Mage Pro,$99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.35,4,7.77,113,36%,6.13,33%,241,,,,,,,,,
Hudef,Viva Pro Gen 2,$129.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,8.06,125,97%,6.43,55%,251,Medium,1854,55.5,37%,35.4,20%,28%,46,Firepower Control+
Hudef,Viva Pro Gen 3,$169.99 ,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.125,7.76,119,79%,6.16,35%,250,,,,,,,,,
JOOLA,Agassi Edge (16mm),$99.95 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.5,4.25,7.8,109,13%,5.47,4%,236,,,,,,,,,
JOOLA,Agassi Pro (14mm),$279.95 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,8.1,116,57%,6.02,26%,240,Very High,2026,56.4,74%,36.8,82%,78%,68,Firepower High
JOOLA,Agassi Pro (16mm),$279.95 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8.17,117,64%,6.14,33%,238,Very High,2014,,,,,,,
JOOLA,Agassi Pro V (16mm),$299.95 ,2026,USAP/UPA-A,Elongated,,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,,8.15,118,71%,6.25,42%,245,,,,,,,,,
JOOLA,Hyperion 3S (14mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,7.85,115,50%,6.01,25%,245,High,1967,55.9,52%,36.2,51%,51%,57,Firepower Balanced
JOOLA,Hyperion 3S (16mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.9,115,50%,6.12,32%,244,High,1989,57.2,96%,36.9,85%,91%,79,Firepower High
JOOLA,Hyperion Pro V (14mm),$299.95 ,2026,USAP/UPA-A,Elongated,,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.5,,7.78,111,23%,6.02,26%,240,,,,,,,,,
JOOLA,Hyperion Pro V (16mm),$299.95 ,2026,USAP/UPA-A,Elongated,,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.5,,8.03,115,50%,6.17,36%,242,,,,,,,,,
JOOLA,Kosmos Pro V (16mm),$299.95 ,2026,USAP/UPA-A,Hybrid,,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.25,,8,114,44%,6.68,73%,242,Very High,2057,56.3,68%,36.6,72%,70%,65,Firepower High
JOOLA,Magnus 3S (14mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5,4.125,7.9,113,36%,6.13,33%,240,,,,,,,,,
JOOLA,Magnus 3S (16mm),$275 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8.14,118,71%,6.45,56%,242,High,1949,,,,,,,
JOOLA,Mod TA-15 (16mm),$279.95 ,2024,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.84,116,57%,6.1,30%,244,Very High,2014,57.8,99%,37.2,95%,97%,89,Firepower Elite
JOOLA,Mod-TA-15 (14mm),$279.95 ,2024,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,7.56,112,29%,5.77,11%,243,Very High,2044,58.4,100%,37.9,99%,100%,100,Firepower Elite
JOOLA,Perseus (14 mm),$249.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.5,4.125,7.93,121,86%,5.77,11%,247,,,,,,,,,
JOOLA,Perseus (16 mm),$249.99 ,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.25,7.85,117,64%,5.87,16%,244,Low,1818,52.8,2%,34.8,8%,5%,6,Firepower Soft
JOOLA,Perseus 3S (14mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,7.9,117,64%,6,24%,244,,,56.4,74%,37,90%,82%,70,Firepower High
JOOLA,Perseus Pro IV (14mm),$279.95 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,7.95,116,57%,6.08,29%,241,High,1964,56.1,61%,37.1,93%,77%,66,Firepower High
JOOLA,Perseus Pro IV (16mm),$279.95 ,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8.2,118,71%,6.29,45%,242,High,1971,56.6,81%,36.9,85%,83%,71,Firepower High
JOOLA,Perseus Pro V (16mm),$299.95 ,2026,USAP/UPA-A,Elongated,,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,,7.95,117,64%,6.26,43%,244,Very High,2060,56.4,74%,36.6,72%,73%,67,Firepower High
JOOLA,Scorpeus (14 mm),$249.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.125,7.65,108,10%,6.45,56%,238,Medium,1856,52.8,2%,35.6,27%,14%,12,Firepower Soft
JOOLA,Scorpeus (16 mm),$249.99 ,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.25,4.25,8.02,113,36%,6.86,83%,238,Low,1845,52.6,2%,34.6,6%,4%,2,Firepower Soft
JOOLA,Scorpeus 3S (14mm),$279.95 ,2024,UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,7.85,111,23%,6.78,78%,240,Very High,2068,56,57%,36.5,67%,62%,61,Firepower Balanced
JOOLA,Scorpeus 3S (16mm),$279.95 ,2024,UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8.12,116,57%,7.23,94%,241,Very High,2011,56.2,65%,37.2,95%,80%,68,Firepower High
JOOLA,Scorpeus Pro IV (14mm),$279.95 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.5,4.125,8.16,111,23%,7.04,89%,237,Very High,2002,56.7,84%,36.4,62%,73%,69,Firepower High
JOOLA,Scorpeus Pro IV (16 mm),$279.95 ,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,8.16,111,23%,7.09,90%,236,Very High,2027,56.6,81%,36.7,80%,80%,70,Firepower High
JOOLA,Scorpeus Pro V (14mm),$299.95 ,2026,USAP/UPA-A,Widebody,,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.25,,7.8,107,6%,6.84,82%,238,,,,,,,,,
JOOLA,Scorpeus Pro V (16mm),$299.95 ,2026,USAP/UPA-A,Widebody,,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.25,,8.13,113,36%,7.21,93%,241,,,,,,,,,
JOOLA,Hyperion 3S (16mm),$279.95 ,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.25,7.89,115,50%,6.1,30%,243,Very High,2010,56.6,81%,36.6,72%,76%,69,Firepower High
